ID,HostelName,locality,pincode,latitude,longitutde,review,Rating,wifi,ac,laundry,security,price
1,SMP Group of PGs,Raghuvanahalli,560062,12.88291,77.54605,,4.4,1,1,1,1,4500
2,Royal New Luxury PG for Ladies,,560068,12.89876,77.62802,good,4,1,1,1,1,3000
3,OM Sai Lakshmi PG,,560070,12.924,77.5607,,5,,,,,5000
4,The Beehive Hostel Luxury mens PG,,560070,12.92409,77.57172,,4.4,,,,,6000
5,ELITE GIRLS PG / HOSTEL,,560111,12.91061,77.56479,,4.9,,,,,5700
6,home town paying guest,,560005,12.99649,77.61714,,4.2,,,,,6500
7,Rentorio Hostel,,560016,12.88129,77.59643,,5,,,,,8000
8,Covie Bannerghatta 185 Paying Guest/Hostels,,560076,12.87567,77.60382,,5,,,,,12000
9,SA PG,,560041,12.93053,77.59516,,5,,,,,6500
10,Hive Hostels,,560076,12.87815,77.59775,,4.8,,,,,5000
11,Abuzz Oxfordcaps,,560076,13.92747,77.67487,,4.1,,,,,3500
12,Sudarshan Luxury Living - Hulimavu,,560076,12.88318,77.59484,,3.7,,,,,8000
13,Shivrang PG For Gents,,560062,12.88379,77.57232,,4.2,,,,,5000
14,New Sri Vaishnavi Gents Pg,,560078,12.89688,77.57112,,3.7,,,,,5000
15,zolo icarus,,560078,12.88908,77.57316,,4,,,,,10000
17,"Amma Ladies PG, Water tank road",,560085,12.93189,77.54633,,4,,,,,10000
18,Shree Nideshwara Ladies Pg,,560078,12.91619,77.5864,,4.5,,,,,5000
19,Sri Balaji Luxurious Ladies Pg,,560078,12.91416,77.58576,,4.9,,,,,5000
20,SS LUXURY FOR GENTS AND LADIES PG,,560076,12.89152,77.59405,,3.9,,,,,4000
21,Ss Comforts Gents Pg,,560076,12.90146,77.60116,,4.9,,,,,6000
23,Fourth Pg Accommodation,,560011,12.92898,77.58267,,3.9,,,,,7000
24,My Home Pg For Men,,560004,12.93496,77.57154,,3.8,,,,,5000
25,ATITHI BOYS PG,,560078,12.89654,77.58294,,4.1,,,,,5000
26,ELITE GIRLS PG / HOSTEL,,560111,12.94084,77.58229,,4.9,,,,,4700
27,Lohitha Girl's PG,,560078,12.92746,77.55895,,4.6,,,,,6000
28,Anagha Girls PG,,560078,12.97296,77.5562,,4.9,,,,,7000
29,Ganapa's Boys PG,,560078,12.97201,77.5496,,4.6,,,,,5000
30,SAGAR BOYS PG,,560078,12.98271,77.57294,,3.8,,,,,4500
31,Yashoda Girls PG,,560078,12.98539,77.53724,,4.1,,,,,5500
