BusStationName,Latitude,Longitude
"Jayanagara 9th Block,JAYANAGARA 9TH BLOCK,BESIDE HOTEL SRI SAI",12.919757,77.592359
"Jayanagara T Block,JAYANAGARA 4TH T BLOCK,BESIDE HDFC BANK",12.922689,77.593385
"Jayanagara 18th Main,JAYANAGARA 4TH T BLOCK,OPPOSITE OF LAKSHMI AYURVEDIC CENTER",12.923186,77.588772
"Church,JAYANAGARA 4TH T BLOCK,BESIDE POORNIMA CONVENTION",12.92796,77.587604
"Jayanagara 4th Block,TTMC",12.928483,77.58421
"Jayanagara 3rd Block,JAYANAGARA 3RD BLOCK,OPPOSITE OF UTL TECHNOLOGIS",12.931778,77.583906
"Madavan Park,JAYANAGARA 3RD BLOCK,OPPOSITE OF ORIENTAL INSUARENCE",12.936107,77.583924
"Southend Circle,BASAVANAGUDI,BESIDE GANDHARVA FAMILY BAR",12.936664,77.576646
"Nagasandra Circle,BASAVANAGUDI,BESIDE PROSPER PARK APPARTMENT",12.936721,77.57217
"Netakallappa Circle,BASAVANAGUDI,OPPOSITE OF GURU RAGHAVENDRA BANK",12.939562,77.572152
"Basavanagudi Police Station,BASAVANAGUDI,BESIDE ACHIEVE SCHOOL OF EDUCATION",12.94189,77.57358
"Gandhi Bazaar,BASAVANAGUDI,BESIDE ASHOKA PLAZA",12.945742,77.570701
"Ramakrishna Ashrama,GAVIPURAM EXTENTION,OPPOSITE OF STATE BANK OF INDIA",12.949147,77.567561
"Bangalore High School,KEMPE GOWDA NAGARA,IN FRONT OF MORE MEGHA STORE",12.951895,77.567463
"Chamarajapet,CHAMARAJA PETE,BESIDE VENKUS & CO. PETROL BUNK",12.957195,77.568295
Makkalakoota,12.958509,77.574026
Krishnarajendra Market,12.961612,77.575279
Veterinary Hospital,12.96366,77.56843
"Goodshed Road Gate,COTTONPET,BESIDE BALAGANGADHARANATHA SWAMYJI FREE HOSTEL SCHOOL",12.968119,77.568007
"Majestic,Opposite to City Railway Station",12.97736,77.57074
"Ananda Rao Circle,IN FRONT OF DIRECTOR OF MEDICAL EDUCATION",12.981745,77.574481
"Central,SHESHADRI PURAM,OPPOSITE TO HOTEL GREEN ARCHID",12.989975,77.572099
